title,genre,mood,pace,heaviness,description
Paddington 2,comedy/family,warm,medium,low,"A heartwarming and funny story about kindness and family."
Little Miss Sunshine,comedy/drama,light,medium,low,"A quirky and uplifting road trip story."
Her,romance/sci-fi,bittersweet,slow,medium,"A thoughtful and emotional story about love and loneliness."
Inception,sci-fi/thriller,intense,fast,high,"A complex and mind-bending action film."
The Pursuit of Happyness,drama,inspiring,medium,medium,"A story about perseverance and hope."
Spirited Away,animation/fantasy,magical,medium,low,"A beautifully crafted fantasy with emotional depth."
The Dark Knight,action/crime,dark,fast,high,"A serious and intense superhero film."
La La Land,romance/musical,emotional,medium,medium,"A bittersweet story about dreams and love."
Forrest Gump,drama,heartwarming,slow,low,"A touching life story full of warmth and inspiration."
Interstellar,sci-fi,epic,slow,high,"A grand story about space, time, and human connection."
